"","q3_q26_corr","q3_q30_corr","q3_q37_corr","q3_q40_corr","q3_q46_corr","q3_q52_corr","q3_q58_corr"
"1",-0.0421821307679336,-0.0437119752852232,-0.084219373314083,-0.137918201764449,0.0568801052185503,-0.344934839288324,-0.0237269004765606
"2",-0.22357792899399,-0.139216222263711,-0.0134213914201484,0.124129187765831,-0.156620668635983,-0.128957281042498,0.0939078077784512
"3",-0.0864848946710528,-0.0307898537188719,-0.0456223646032697,-0.243509748210678,0.183157199247702,-0.308546347834175,0.0106783062888681
"4",-0.23593324585977,-0.416697121470906,-0.25326663203858,-0.170935727835576,-0.0435115392908975,-0.147136489754519,0.156111192620744
"5",-0.298294073938469,0.0800507411255079,-0.188072722891882,-0.310412953628574,0.027275129034235,-0.298496524159221,0.159751274187874
"6",-0.078952965312753,-0.171217666105249,-0.0969814190253599,-0.297456010085919,0.10818788547056,-0.0995472485497583,0.0143653023650687
"7",-0.0920855731777776,-0.0206570660659663,-0.200583599608467,-0.0705805713772709,0.0688814306165451,-0.302076874199843,0.0153481770508323
"8",-0.218820192984677,0.0595526963827517,-0.100205542822242,-0.0874349892033123,-0.0610450109577503,-0.153044313374859,0.18469964519348
"9",-0.0178263614198265,-0.228398519577326,-0.256001006483437,-0.0182425194841669,0.0556223854845035,-0.142443708351934,0.126661327634706
"10",-0.162028287549462,-0.0602004247982713,0.190994052940603,0.105890834047857,0.12127472814102,-0.118095428634533,0.145418770613165
"11",0.149822669361374,0.0109664160554918,-0.316156697060568,0.0431637640386246,0.297968554777257,-0.295731297538825,0.0808575955681241
"12",-0.358570443685145,-0.0230505172686278,-0.182067024342156,0.00915918653849085,0.169668296249624,0.170049312453331,0.166235073659787
"13",-0.181803766985627,-0.12943187204933,-0.241960129636555,-0.0600531518253969,-0.0873143575242107,-0.0312201284358927,-0.0127480895684158
"14",0.054747463003538,-0.169772718661293,-0.212667160352269,0.000791574142492778,-0.192614487502438,-0.11352767916763,-0.0464926586441749
"15",-0.0452853660484451,-0.237865890703707,-0.191674182169521,-0.109383749217754,0.0960645883253545,-0.290344171556301,-0.019389168358237
"16",-0.20470056533529,-0.0511464198696467,-0.239603793057704,-0.115408136526928,0.0114432722625421,-0.00942181130062806,0.173075589597796
"17",-0.0945077089634277,0.11462808038335,-0.140740780526563,-0.192377418421074,0.173174956015547,-0.254662011131762,-0.0179684170891517
"18",-0.134113097744057,0.0030195820736702,-0.0392157923911012,-0.058476732855404,-0.147714353937399,-0.200225590302306,0.0665936412368589
"19",-0.0129393598865543,-0.022135613044678,-0.129758894947987,-0.310233723965458,-0.164247632861793,-0.233667909985556,0.159733548291745
"20",-0.151983228902154,0.0992007963767784,-0.155968680734987,-0.240329444551676,-0.0268804306727817,-0.206537632619662,0.112097830367932
"21",-0.109062785282893,-0.19522308790593,-0.0124728145355243,-0.177139689122942,0.0689852755738963,-0.0370715925470932,0.155157528179463
"22",-0.272570859148824,-0.163830874743095,-0.174373993376314,-0.109139351724861,0.0955928939294009,-0.185968062684491,-0.0938400639893611
"23",-0.117242944467727,-0.030962056454789,-0.251418655023869,-0.162636191456875,-0.163551905898755,-0.2708066309094,0.105024527498392
"24",-0.05984181890789,-0.222943010403548,-0.108453122917534,-0.0530780004198123,0.0111125716045025,-0.00645540985823693,0.110360234539743
"25",-0.188416631372479,-0.0712272799302513,-0.0761534228451203,-0.0444089233383229,0.0188379893702641,0.0925274737742236,0.126732393947942
"26",-0.323692195506596,-0.179349099124349,-0.236031844388095,-0.118104882973721,0.0840161504579395,-0.161503774121147,0.0199418204945269
"27",-0.0913251028487967,-0.103170065531849,-0.108817882297008,-0.254836213251757,-0.0284210345330973,-0.12094145177923,-0.147309021914412
"28",0.110459503410593,0.0168351839756853,-0.214015544558942,-0.024889079067313,-0.0454007212644044,-0.211706885972367,-0.0262890515863338
"29",-0.0939590386843677,-0.123211847608353,-0.237407359205075,-0.103888996915157,-0.242153556127213,-0.119538411499334,-0.0287959695646037
"30",-0.196954991025382,-0.0399536397532111,-0.224805898280134,-0.172740546622497,-0.138360658739688,-0.126500151038866,-0.00729213880868597
"31",-0.184673825935838,0.0173306431469935,-0.0588159596881981,-0.0533415050336095,0.00585699416875796,-0.284005446187444,0.097099392104483
"32",-0.0263439312608452,-0.127451570481407,-0.369614878598588,-0.0335783208946282,0.194769809538546,-0.39382760823879,0.0659531708093656
"33",-0.0811618720176222,-0.128956409673897,-0.0481855862899482,-0.311301663827601,0.199741345246561,-0.183480176234996,0.0656603492093734
"34",-0.318806665958023,-0.24621080162651,-0.192530822825418,-0.22926111756825,-0.0744414281852337,-0.1248842744666,0.0208518062046175
"35",-0.1179525718059,-0.0928194449422856,-0.0587290297708105,-0.13128329918462,-0.166946159831932,-0.116009830894557,-0.0786827677941583
"36",-0.126813512053568,-0.0847339032384808,-0.209485585862467,-0.083708069360075,-0.0797518395853297,-0.242440092610154,0.297553032738033
"37",-0.0557959525807845,0.0653686928913507,-0.164914549784768,-0.0116291478139671,-0.0935435879764941,0.0186119354558392,0.181929046446107
"38",-0.162504607946464,0.105289708390944,-0.136535266383779,-0.33404114442262,0.135875517405378,-0.103197014916403,-0.171018728282904
