"","q3_q103.1_corr","q3_q103.2_corr","q3_q103.3_corr","q3_q103.4_corr","q3_q103.5_corr","q3_q103.6_corr","q3_q103.7_corr"
"1",-0.0728148980588417,-0.326194839717205,-0.0588676710797888,0.20470542067131,0.0241989652037825,-0.0438781983890763,0.182368077923068
"2",0.00843368996108886,0.0468991989844911,-0.247721112360817,0.118510822283272,0.153798283687967,0.0428299813674489,-0.154593711352234
"3",0.209509351214549,-0.130876718650731,-0.256992440792253,0.0772624528471159,0.0976171848518727,0.0094854708843098,0.0828699520110891
"4",-0.182213880576846,-0.160908056308367,-0.0219389458043466,-0.12387021807881,0.0740882169385781,0.00555005925108068,-0.0287057929026955
"5",-0.135776806087831,-0.0515393180904944,-0.135539676953546,-0.0969673707986809,0.183336599911979,0.00717876049554812,0.0746015819774855
"6",-0.139833113725105,-0.0170915825847568,-0.0461224481346908,0.159411198906615,0.23545611077776,-0.170811760882555,0.11538053398094
"7",-0.0571861213513511,-0.156438640762672,-0.0652324726378128,0.052224452413397,0.198146045682378,0.0776275341452504,0.154537439278294
"8",-0.114951717342933,0.085943639452719,0.0150788838975976,0.0916814662315756,0.156014581364665,0.00422312579289884,0.0287143928912524
"9",-0.206245731893816,-0.143454571218026,0.196971019001287,0.175662225484353,0.302626607229142,0.0336725979787466,-0.0102147483069337
"10",-0.0458923607266891,-0.074453499255594,0.151124902022145,-0.0753302941427738,0.0175020296434814,-0.0226305452651503,-0.185994621799896
"11",-0.0185704289091815,-0.161913192883334,-0.018600909701385,-0.121974404848189,0.233456370173019,0.12431624386424,0.0553016638208319
"12",0.0490426733169248,-0.193405086967497,-0.217830023215201,0.111020234219129,0.254977316152267,-0.0404460123432259,-0.154648519990333
"13",-0.165838770447706,-0.0661349593669653,-0.143295937492795,0.0729685093085993,0.0677681346414764,0.0898178114811705,0.0753729834569248
"14",-0.116060158390957,-0.0743166137402624,0.0201419864616007,0.0819261096204278,0.132610868476501,0.0456925329591053,0.0521004105482826
"15",-0.205059225839691,-0.16465044949737,-0.146431408135794,0.0563123873753379,0.183340553294805,0.0290031362919078,0.0687965787040146
"16",0.0487772676304236,-0.244922746459946,-0.106623678745208,0.105607287615888,0.10809169501701,0.143168683378776,0.00472222077302801
"17",0.0238714345318717,-0.0657975274459942,-0.28238401083439,0.0586261125695806,0.0682997795021977,0.136849856637382,-0.15430780633562
"18",-0.16454445443421,-0.235241490928379,-0.195406310334802,0.162743337150461,0.0108083022354073,0.062171245030526,-0.00136834629589896
"19",-0.029615155298107,-0.131062930842305,-0.242487465197199,0.0270121300976764,0.251988275937032,0.12072675276014,-0.056062357820703
