"","q3_q29_corr","q3_q35_corr","q3_q41_corr","q3_q47_corr","q3_q53_corr","q3_q59_corr"
"1",0.105103157136849,0.040091190896525,-0.0359380893129578,0.063753885754233,-0.0775585959205258,0.136228087869486
"2",0.0137925749360734,0.0109139826340339,-0.224237716111643,0.226311707717534,-0.0634371565945152,0.113361954893286
"3",-0.0934807050977943,0.0383326753430973,-0.0229420857023655,-0.00422273239077865,-0.0412405424120701,0.151322328956368
"4",-0.0453468742981745,0.0568088455742532,-0.0157360801082383,0.0724183335801812,-0.0777990161773264,0.0582455889904481
"5",0.203967482732732,0.0120729922595835,-0.12226696037357,0.202439864110689,-0.0684894156507385,0.0303850307709362
"6",0.157765854917085,0.151772379388349,-2.93009697475739e-20,0.147047019124334,-0.00140868836533384,-0.0560750562264299
"7",-0.100583637160472,0.100187601426953,-0.128708418009282,-0.0695312893903369,-0.0216377593069157,0.135388545767294
"8",-0.115822209910618,-0.0443799457909825,0.0797440930889761,0.11211586294479,0.0524956284771142,0.202842371898229
"9",-0.224553012197706,0.0278965236338993,-0.0389943031399781,0.0330066444832559,0.249557635049828,0.215576063157361
"10",0.0469126655742146,0.121527777777778,-0.177104996036924,-0.0462313409652809,0.0363131119119144,-0.00725346462880788
"11",-0.0274055542027495,0.132508022017888,-0.109119060083904,0.0304601800222227,-0.0625495359093702,0.235649934919258
"12",-0.0337784233881959,-0.0037214682815307,0.113121365497533,0.112873891408024,-0.0299042752591664,-0.0161637566938905
"13",0.0944783137564422,0.240474801036043,0.00116075933432032,0.122659875220743,-0.141806186299926,0.0780247923889184
"14",-0.0787933793928935,0.127891274831167,0.210096306483196,0.106253983936407,-0.00691744553452789,0.095766409088497
"15",-0.115443507382209,0.073028817592572,0.0532468025182578,0.225603160788643,-0.150892225381458,-0.055486139508664
"16",-0.0850324102449877,0.0993923356725326,0.0692182275575727,0.0942650176184561,-0.0429015065666657,0.0668135392963013
"17",-0.0226270147435052,-0.0756908806413873,-0.000728668410055793,0.0100074573802711,-0.121620130151509,0.0886247375664455
"18",-0.0505413366005501,0.290493477312828,0.136878984632168,0.254527240795954,-0.188447508997058,0.230891310414466
"19",0.0814630378856261,0.05921791405882,-0.152711288848567,-0.0748302680254724,-0.151000025420486,0.169909114676621
"20",0.0720974471209581,0.186814024985165,-0.057179202417319,0.051460710832011,-0.0697703531071097,0.164205231026426
"21",-0.0549571420438776,0.0273880798579398,0.11258051635682,0.163055870570116,0.0137094868352477,0.246671676931318
"22",-0.107122697979767,-0.110689157987648,0.020334180168368,0.157336406020327,9.87609664759871e-05,0.0260877472073702
"23",-0.126856907576631,0.0813462005845102,-0.0320168826179585,0.17329777243204,-0.0895834008421005,0.150236805268477
"24",0.050382413936909,0.0823616298730699,-0.102187466012523,0.0241372237960374,0.107923706563712,-0.0067060599612257
"25",-0.0410679291387838,0.0551370220698949,-0.0193573039976026,-0.0354105926810853,0.0147076481947179,0.0188626743468259
"26",-0.156363254060473,0.0790215107187086,0.0483799928199324,0.0416342864039693,0.0757923078292084,0.185942386158468
"27",0.0276412863188713,0.0123025174546415,0.134439908952206,0.05013458496339,0.0430458348024502,0.134754146425488
"28",-0.132077313775746,0.108463067214112,0.0368628973666325,0.150618646094688,-0.297574771707685,0.216366628832119
"29",-0.0165136871125134,0.0190202004183193,-0.0787472931083233,0.013658143730477,0.021267407730585,0.160153386937684
"30",0.0709390385900378,0.0687891130881791,-0.0585413413101704,0.192902540189658,-0.164353564157277,-0.0635713618784034
"31",0.078891473753152,0.0274235205796329,-0.0257916564222893,0.263517196919104,0.0123889963218364,0.03659769787537
"32",-0.0117463847906897,0.136181423611819,0.0398100219544722,-0.0292934564174042,-0.0545374168505366,0.00966508825343325
"33",-0.0446878431233908,0.0801814938864053,0.0360561213871058,0.0524233094412118,-0.043067057342799,0.0612027675943803
"34",0.0654102798567155,-0.119223607587319,0.144476421282461,0.189417122661062,-0.197631985178773,0.0785935215717669
"35",-0.0956755820535369,-0.0470147345681946,-0.0878652082415586,-0.103724315908196,0.13564646687372,-0.0998836491206978
"36",-0.057583579381711,-0.0138582897985976,-0.0483027335024318,0.106347191696745,-0.000349597441331532,-0.053906996182529
"37",-0.0444072607247437,0.250508705895458,0.0786823461473266,0.0602826726206198,-0.163433088445297,0.136939611703213
"38",-0.107809630342032,0.0742763439757301,-0.0267355631832857,0.166069558211337,-0.11608985380427,0.186904611318139
"39",-0.115744424281168,0.00662652192216768,0.0152162767313246,-0.00339765143243025,-0.150745207331575,0.285164952676516
"40",-0.0274699372926822,0.0473044789097839,0.113124976408012,-0.0508362155179514,0.00345661567044836,0.17801472867257
