"","q10_q103.1_corr","q10_q103.2_corr","q10_q103.3_corr","q10_q103.4_corr","q10_q103.5_corr","q10_q103.6_corr","q10_q103.7_corr"
"1",0.156297755652923,-0.0773531468769422,-0.409525674566824,-0.094644611385311,-0.0377911102969413,-0.14614729362076,-0.0155428950173308
"2",-0.13130085826667,-0.214527181991599,-0.335915562623109,-0.309875314273798,-0.367056083774239,-0.0478023835525298,-0.014596032032333
"3",0.0267740846926895,-0.0727746870537053,-0.322936650606523,-0.235017102724573,-0.12610474434314,-0.137702230807367,-0.0980576631956596
"4",-0.0837374626868922,-0.117667688082317,-0.362050005532353,-0.153458623593686,0.0334640010869495,-0.230349150754505,0.127679883613155
"5",-0.0742703608977476,-0.114925894594895,-0.0906760955494343,-0.382631614146997,0.0250003445644685,-0.0745991642269111,-0.127183149196385
"6",0.0397380453288691,-0.15993124068998,-0.251675420807222,-0.250807751939022,-0.0218736179526087,-0.151347749021508,0.104387703658669
"7",0.125605099966107,-0.315021427968931,-0.145537461583934,-0.26112376091669,-0.0483463899307055,0.11835118049123,0.00877006682267856
"8",0.0175704843478148,-0.128472423749265,-0.32280975618605,-0.372502042384095,-0.313517802312672,-0.110780489248727,0.0298063239016529
"9",-0.131758492511059,-0.240336003379921,-0.325759634171216,-0.141811200222986,-0.069797462065403,-0.117568939945673,0.0590459547817377
"10",-0.0663631081931313,-0.44338361124907,-0.284767202060888,-0.149831739754221,-0.175619293685449,-0.149679414640749,0.0332097148652815
"11",-0.167164424450572,-0.196816629856694,-0.23059197286998,-0.180194187387049,0.0542637604029113,-0.24430041990746,0.0701161133770305
"12",-0.213590341335831,-0.123761072296578,-0.373495242574632,-0.192928520185163,-0.264632636239203,0.0283861279405746,-0.0459037012491001
"13",-0.0387537792986479,-0.17533047290924,-0.350545232568633,-0.20996037452765,-0.192050901049208,-0.0863102330605583,0.113935794667404
"14",-0.0432386108837043,-0.189082112721806,-0.364092128957767,-0.0226409576986377,0.0110130913661967,-0.14558105385868,-0.0370049533290972
